升學管道戰力評估與決策雷達圖,,,
每一項給自己 1–5 分（1＝完全不符合，5＝完全符合），下方三個平均分與戰力長條會自動算出。,,,
長條是給你比高低的；三個管道的「形狀」差異看不出來時，代表你的自評太平均，值得找顧問一起看。,,,
,,,
管道,評估項目,我的分數（1–5）,說明
個申,學測成績能通過目標科系一階,,過不了一階，個申就不成立
個申,科系方向明確，能說清楚為什麼選這裡,,
個申,三年有活動、課程或作品能整理成有主線的備審,,重點是主線不是數量
個申,願意投入時間準備備審文件和面試,,
特選,在特定領域有深度的自主學習或研究經歷,,深度比廣度重要
特選,參加過有意義的競賽或計畫，有可展示的具體成果,,
特選,學測不突出，但在某個方向有明確且獨特的積累,,
特選,能說清楚「我的特殊性是什麼、為什麼這科系需要我」,,泛泛的多元通常不夠
分科,學測或分科成績在目標科系落點有把握,,
分科,科系方向較廣，不需要特定的備審方向,,
分科,時間有限，無法同時維持學科成績和準備備審,,分發不是備用選項
,,,
管道,平均分數,戰力（填完分數自動長出）,
個申,=AVERAGE(C6:C9),"=IF(COUNT(C6:C9)=0,"""",REPT(""█"",ROUND(B19*4,0)))",
特選,=AVERAGE(C10:C13),"=IF(COUNT(C10:C13)=0,"""",REPT(""█"",ROUND(B20*4,0)))",
分科,=AVERAGE(C14:C16),"=IF(COUNT(C14:C16)=0,"""",REPT(""█"",ROUND(B21*4,0)))",
,,,
算完戰力下一步：把落點算出來 →,https://tbd-web.vercel.app/pages/placement.html?utm_source=tbd-web&utm_medium=template&utm_campaign=admission-channel-radar-csv,,
